"Name","Season","GamesPlayed","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"BKN","2023-24",82,1516,756,114,101,109,25,88,9,0,0,1,12,4,30,1494
"SAS","2023-24",82,1414,763,85,92,72,28,111,26,0,0,0,4,1,8,1470
"UTA","2023-24",82,1523,816,79,100,124,33,87,23,0,0,2,6,2,9,1577
"ORL","2023-24",82,1618,802,80,122,114,34,119,41,0,0,1,6,9,22,1706
"PHI","2023-24",82,1668,844,76,84,91,43,70,27,0,0,2,5,8,15,1519
"WAS","2023-24",82,1637,887,65,84,88,41,95,33,0,0,1,6,6,15,1473
"NOP","2023-24",82,1508,771,111,75,117,35,62,32,0,0,1,4,3,19,1504
"CLE","2024-25",82,1487,755,128,90,66,16,89,25,0,0,1,2,7,15,1552
"HOU","2024-25",82,1557,765,109,159,84,45,67,27,0,0,0,6,4,4,1574
"TOR","2024-25",82,1738,906,110,84,84,27,111,34,0,0,1,2,3,9,1483
"UTA","2024-25",82,1549,824,93,99,111,24,70,22,0,0,0,2,2,8,1578
"LAC","2024-25",82,1503,787,87,86,102,23,64,8,0,0,1,4,1,9,1458
"LAL","2024-25",82,1415,780,103,92,79,20,66,47,0,0,1,5,4,9,1573
"MIN","2024-25",82,1498,766,95,118,79,33,129,23,0,0,1,2,5,8,1568
"BKN","2024-25",82,1698,828,108,108,109,31,93,38,0,0,1,5,3,20,1549
"ORL","2024-25",82,1648,823,100,125,90,35,131,27,0,0,1,7,4,6,1666
"PHX","2024-25",82,1471,826,79,83,101,18,86,13,0,0,1,6,2,11,1507
"POR","2024-25",82,1558,833,92,100,82,36,112,46,0,0,0,3,6,13,1579
"SAS","2024-25",82,1363,708,82,91,60,29,54,9,0,0,0,2,4,11,1428
